Dark Snow | AFI | AFI (The Blood Album)
Still A Stranger | AFI | AFI (The Blood Album)
Aurelia | AFI | AFI (The Blood Album)
Hidden Knives | AFI | AFI (The Blood Album)
Get Hurt | AFI | AFI (The Blood Album)
Above The Bridge | AFI | AFI (The Blood Album)
So Beneath You | AFI | AFI (The Blood Album)
Snow Cats | AFI | AFI (The Blood Album)
Dumb Kids | AFI | AFI (The Blood Album)
Pink Eyes | AFI | AFI (The Blood Album)
Feed From The Floor | AFI | AFI (The Blood Album)
White Offerings | AFI | AFI (The Blood Album)
She Speaks The Language | AFI | AFI (The Blood Album)
The Wind That Carries Me Away | AFI | AFI (The Blood Album)
The Sinking Night | AFI | Burials
I Hope You Suffer | AFI | Burials
A Deep Slow Panic | AFI | Burials
No Resurrection | AFI | Burials
The Conductor | AFI | Burials
Heart Stops | AFI | Burials
Rewind | AFI | Burials
The Embrace | AFI | Burials
Wild | AFI | Burials
Greater Than 84 | AFI | Burials
Anxious | AFI | Burials
The Face Beneath The Waves | AFI | Burials
Torch Song | AFI | Crash Love
Beautiful Thieves | AFI | Crash Love
End Transmission | AFI | Crash Love
Too Shy To Scream | AFI | Crash Love
Veronica Sawyer Smokes | AFI | Crash Love
Okay, I Feel Better Now | AFI | Crash Love
Medicate | AFI | Crash Love
I Am Trying Very Hard To Be Here | AFI | Crash Love
Sacrilege | AFI | Crash Love
Darling, I Want To Destroy You | AFI | Crash Love
Cold Hands | AFI | Crash Love
It Was Mine | AFI | Crash Love
Torch Song | AFI | Crash Love (Deluxe)
Beautiful Thieves | AFI | Crash Love (Deluxe)
End Transmission | AFI | Crash Love (Deluxe)
Too Shy To Scream | AFI | Crash Love (Deluxe)
Veronica Sawyer Smokes | AFI | Crash Love (Deluxe)
Okay, I Feel Better Now | AFI | Crash Love (Deluxe)
Medicate | AFI | Crash Love (Deluxe)
I Am Trying Very Hard To Be Here | AFI | Crash Love (Deluxe)
Sacrilege | AFI | Crash Love (Deluxe)
Darling, I Want To Destroy You | AFI | Crash Love (Deluxe)
Cold Hands | AFI | Crash Love (Deluxe)
It Was Mine | AFI | Crash Love (Deluxe)
Fainting Spells - From Decemberunderground Sessions 2006 | AFI | Crash Love (Deluxe)
We've Got The Knife - Demo from Crash Love Sessions | AFI | Crash Love (Deluxe)
Where We Used To Play - Demo from Crash Love Sessions | AFI | Crash Love (Deluxe)
100 Words - From Sing The Sorrow Sessions 2003 | AFI | Crash Love (Deluxe)
Prelude 12/21 | AFI | DECEMBERUNDERGROUND
Kill Caustic | AFI | DECEMBERUNDERGROUND
Miss Murder | AFI | DECEMBERUNDERGROUND
Summer Shudder | AFI | DECEMBERUNDERGROUND
The Interview | AFI | DECEMBERUNDERGROUND
Love Like Winter | AFI | DECEMBERUNDERGROUND
Affliction | AFI | DECEMBERUNDERGROUND
The Missing Frame | AFI | DECEMBERUNDERGROUND
Kiss and Control | AFI | DECEMBERUNDERGROUND
The Killing Lights | AFI | DECEMBERUNDERGROUND
37mm | AFI | DECEMBERUNDERGROUND
Endlessly, She Said | AFI | DECEMBERUNDERGROUND
The Lost Souls | AFI | AFI
The Days Of The Phoenix | AFI | AFI
Totalimmortal | AFI | AFI
Fall Children | AFI | AFI
The Prayer Position | AFI | AFI
God Called In Sick Today | AFI | AFI
